date,value,satellite_flag
2011-02-14 03:00,0.0000,11000000000000000000000000000000
2011-02-14 04:00,0.2538,11000000000000000000000000000000
2011-02-14 05:00,2.0131,01000000000000000001000000000000
2011-02-14 06:00,3.4775,11000000000000000000000000000000
2011-02-14 07:00,0.0000,11000000000000000000000000000000
2011-02-14 08:00,0.0000,11000000000000000000000000000000
2011-02-14 09:00,0.0000,11000000000000000000000000000000
2011-02-14 10:00,1.9031,01000000000000000000010000000000
2011-02-14 11:00,0.0000,01000000000000000000110000000000
2011-02-14 12:00,1.6869,11000000000000000000000000000000
2011-02-14 13:00,1.4379,11000000000000000000000000000000
2011-02-14 14:00,1.4735,01000000000000000000000001000000
2011-02-14 15:00,0.0000,01000000000000000000000000100000
2011-02-14 16:00,4.9980,11000000000000000000000000000000
2011-02-14 17:00,0.0000,01000000000000000001000000000000
2011-02-14 18:00,0.0000,11000000000000000000000000000000
2011-02-14 19:00,1.9413,01000000000000000001000000000000
2011-02-14 20:00,3.1800,01000000000000000000100000000010
2011-02-14 21:00,1.6602,01000000000000000000010000000000
2011-02-14 22:00,1.7126,11000000000000000000000000000000
2011-02-14 23:00,1.1991,11000000000000000000000000000000
2011-02-15 00:00,0.0000,01000000000000000000000001000000
2011-02-15 01:00,0.0000,01000000000000000000000000100000
2011-02-15 02:00,0.0000,11000000000000000000000000000000
2011-02-15 03:00,0.0000,11000000000000000000000000000000
2011-02-15 04:00,0.0000,01000000000000000001000000000000
2011-02-15 05:00,0.0000,11000000000000000000000000000000
2011-02-15 06:00,0.2252,11000000000000000000000000000000
2011-02-15 07:00,0.0000,11000000000000000000000000000000
2011-02-15 08:00,0.0000,11000000000000000000000000000000
2011-02-15 09:00,0.2120,11000000000000000000000000000000
2011-02-15 10:00,1.5661,01000000000000000000100000000010
2011-02-15 11:00,0.0000,01000000000000000000010000000000
2011-02-15 12:00,0.0000,11000000000000000000000000000000
2011-02-15 13:00,0.0599,11000000000000000000000000000000
2011-02-15 14:00,0.0000,01000000000000000000000001000000
2011-02-15 15:00,0.0000,01000000000000000000000000100000
2011-02-15 16:00,0.0000,11000000000000000000000000000000
2011-02-15 17:00,0.0000,11000000000000000000000000000000
2011-02-15 18:00,3.9599,01000000000000000001000000000000
2011-02-15 19:00,0.8240,11000000000000000000000000000000
2011-02-15 20:00,0.0000,11000000000000000000000000000000
2011-02-15 21:00,1.0824,01000000000000000000010000000010
2011-02-15 22:00,1.0399,11000000000000000000000000000000
2011-02-15 23:00,0.5542,11000000000000000000000000000000
2011-02-16 00:00,0.6659,11000000000000000000000000000000
2011-02-16 01:00,0.0000,01000000000000000000000001000000
2011-02-16 02:00,0.0000,11000000000000000000000000000000
2011-02-16 03:00,0.1616,11000000000000000000000000000000
2011-02-16 04:00,0.0000,01000000000000000001000000000000
2011-02-16 05:00,0.7312,11000000000000000000000000000000
2011-02-16 06:00,0.0689,11000000000000000000000000000000
2011-02-16 07:00,0.2321,11000000000000000000000000000000
