date,value,satellite_flag
2007-12-23 03:00,0.0000,01000000000000000000000000100000
2007-12-23 04:00,0.0000,11000000000000000000000000000000
2007-12-23 05:00,0.0000,11000000000000000000000000000000
2007-12-23 06:00,0.0000,01000000000000000000001000000000
2007-12-23 07:00,0.0000,11000000000000000000000000000000
2007-12-23 08:00,0.0000,11000000000000000000000000000000
2007-12-23 09:00,0.0000,11000000000000000000000000000000
2007-12-23 10:00,0.0000,01000000000000000000010000000010
2007-12-23 11:00,0.0000,11000000000000000000000000000000
2007-12-23 12:00,0.0887,11000000000000000000000000000000
2007-12-23 13:00,0.9784,01000000000000000000000110000000
2007-12-23 14:00,0.0000,01000000000000000000000010000100
2007-12-23 15:00,0.0314,11000000000000000000000000000000
2007-12-23 16:00,0.1222,11000000000000000000000000000000
2007-12-23 17:00,1.6534,01000000000000000000000000100000
2007-12-23 18:00,0.0000,01000000000000000001001000000000
2007-12-23 19:00,0.1180,11000000000000000000000000000000
2007-12-23 20:00,0.1697,01000000000000000000010000000000
2007-12-23 21:00,0.0000,01000000000000000000000000000010
2007-12-23 22:00,0.0000,11000000000000000000000000000000
2007-12-23 23:00,0.0000,01000000000000000000000100000000
2007-12-24 00:00,0.0000,01000000000000000000000010000000
2007-12-24 01:00,0.0000,11000000000000000000000000000000
2007-12-24 02:00,0.0000,01000000000000000000000000100100
2007-12-24 03:00,0.1261,11000000000000000000000000000000
2007-12-24 04:00,5.5495,01000000000000000001000000000000
2007-12-24 05:00,4.2161,11000000000000000000000000000000
2007-12-24 06:00,5.2474,01000000000000000000001000000000
2007-12-24 07:00,5.2546,11000000000000000000000000000000
2007-12-24 08:00,1.3519,11000000000000000000000000000000
2007-12-24 09:00,0.1674,11000000000000000000000000000000
2007-12-24 10:00,0.0000,01000000000000000000010000000010
2007-12-24 11:00,0.0000,11000000000000000000000000000000
2007-12-24 12:00,0.0000,11000000000000000000000000000000
2007-12-24 13:00,0.0000,01000000000000000000000100000000
2007-12-24 14:00,0.0000,01000000000000000000000010000000
2007-12-24 15:00,0.0000,11000000000000000000000000000000
2007-12-24 16:00,0.0000,01000000000000000000000000100000
2007-12-24 17:00,0.2091,11000000000000000000000000000000
2007-12-24 18:00,0.0677,01000000000000000001001000000000
2007-12-24 19:00,0.0632,11000000000000000000000000000000
2007-12-24 20:00,0.0846,11000000000000000000000000000000
2007-12-24 21:00,0.0280,11000000000000000000000000000000
2007-12-24 22:00,0.0348,11000000000000000000000000000000
2007-12-24 23:00,0.0337,01000000000000000000000100000000
2007-12-25 00:00,0.0210,01000000000000000000000010000000
2007-12-25 01:00,0.0237,01000000000000000000000000000100
2007-12-25 02:00,0.0257,11000000000000000000000000000000
2007-12-25 03:00,0.0315,11000000000000000000000000000000
2007-12-25 04:00,0.0299,11000000000000000000000000000000
2007-12-25 05:00,0.0275,01000000000000000001001000000000
2007-12-25 06:00,0.0253,11000000000000000000000000000000
2007-12-25 07:00,0.0000,11000000000000000000000000000000
2007-12-25 08:00,0.0000,11000000000000000000000000000000
2007-12-25 09:00,0.0000,01000000000000000000000000000010
2007-12-25 10:00,0.0000,01000000000000000000010000000000
2007-12-25 11:00,0.0000,11000000000000000000000000000000
2007-12-25 12:00,2.9669,11000000000000000000000000000000
2007-12-25 13:00,0.0000,01000000000000000000000110000000
2007-12-25 14:00,0.0000,11000000000000000000000000000000
