date,value,satellite_flag
2010-12-20 00:00,0.0000,01000000000000000000000001000000
2010-12-20 01:00,0.0000,11000000000000000000000000000000
2010-12-20 02:00,1.2445,11000000000000000000000000000000
2010-12-20 03:00,1.7365,11000000000000000000000000000000
2010-12-20 04:00,3.6190,01000000000000000001000000000000
2010-12-20 05:00,0.0000,11000000000000000000000000000000
2010-12-20 06:00,0.0000,11000000000000000000000000000000
2010-12-20 07:00,2.7891,11000000000000000000000000000000
2010-12-20 08:00,0.0000,11000000000000000000000000000000
2010-12-20 09:00,0.0000,01000000000000000000010000000000
2010-12-20 10:00,0.0000,01000000000000000000100000000010
2010-12-20 11:00,0.0000,01000000000000000000010000000000
2010-12-20 12:00,0.0000,11000000000000000000000000000000
2010-12-20 13:00,0.0000,11000000000000000000000000000000
2010-12-20 14:00,0.0000,01000000000000000000000001000000
2010-12-20 15:00,0.0000,01000000000000000000000000100000
2010-12-20 16:00,0.0000,11000000000000000000000000000000
2010-12-20 17:00,1.4981,11000000000000000000000000000000
2010-12-20 18:00,0.0000,01000000000000000001000000000000
2010-12-20 19:00,3.0328,11000000000000000000000000000000
2010-12-20 20:00,1.6899,01000000000000000000100000000000
2010-12-20 21:00,0.0000,01000000000000000000010000000010
2010-12-20 22:00,0.0000,11000000000000000000000000000000
2010-12-20 23:00,0.0000,11000000000000000000000000000000
2010-12-21 00:00,0.0000,01000000000000000000000001000000
2010-12-21 01:00,0.0000,01000000000000000000000000100000
2010-12-21 02:00,0.0000,11000000000000000000000000000000
2010-12-21 03:00,0.0000,11000000000000000000000000000000
2010-12-21 04:00,0.0000,01000000000000000001000000000000
2010-12-21 05:00,0.0000,01000000000000000001000000000000
2010-12-21 06:00,0.0000,11000000000000000000000000000000
2010-12-21 07:00,0.0000,11000000000000000000000000000000
2010-12-21 08:00,0.0000,11000000000000000000000000000000
2010-12-21 09:00,0.0000,11000000000000000000000000000000
2010-12-21 10:00,0.0000,01000000000000000000100000000000
2010-12-21 11:00,0.0000,11000000000000000000000000000000
2010-12-21 12:00,0.0000,11000000000000000000000000000000
2010-12-21 13:00,0.0000,11000000000000000000000000000000
2010-12-21 14:00,0.0000,01000000000000000000000001000000
2010-12-21 15:00,0.0000,01000000000000000000000000100000
2010-12-21 16:00,0.0000,11000000000000000000000000000000
2010-12-21 17:00,0.0000,11000000000000000000000000000000
2010-12-21 18:00,0.0000,01000000000000000001000000000000
2010-12-21 19:00,1.1489,11000000000000000000000000000000
2010-12-21 20:00,0.5129,01000000000000000000100000000010
